fpr,tpr,roc_thresholds,precision,recall,f1_score,pr_thresholds,bin_center,true_rate,count,roc_auc,brier_score
0.0,0.0,inf,0.4261326329612607,1.0,0.5976058889956088,0.03986405405034771,0.05,0.09523809523809523,21.0,0.894021959501151,0.14104467903386372
0.0,0.0015408320493066256,0.972998022653365,0.4260355029585799,0.9984591679506933,0.597235018848865,0.04777562993040773,0.15000000000000002,0.08095238095238096,210.0,,
0.0,0.004622496147919877,0.9710530474406076,0.4263157894736842,0.9984591679506933,0.5975103692502659,0.050084059303201686,0.25,0.1130952380952381,336.0,,
0.0,0.012326656394453005,0.9501104361110854,0.42659644502962474,0.9984591679506933,0.597785973664953,0.056481349740076306,0.35000000000000003,0.21705426356589147,258.0,,
0.0,0.01694915254237288,0.9459124456635318,0.4268774703557312,0.9984591679506933,0.598061832444583,0.05822340641048436,0.45,0.42134831460674155,178.0,,
0.0,0.02465331278890601,0.9246964022965611,0.42715886618325644,0.9984591679506933,0.5983379459414617,0.06219361672866942,0.55,0.7394366197183099,142.0,,
0.0,0.02773497688751926,0.921052022161783,0.42744063324538256,0.9984591679506933,0.5986143145085461,0.07107489832526617,0.6500000000000001,0.8823529411764706,136.0,,
0.0,0.04160246533127889,0.9045741166220704,0.4277227722772277,0.9984591679506933,0.5988909384994457,0.07725786893833175,0.75,0.9519230769230769,104.0,,
0.0,0.046224961479198766,0.9039404866319822,0.42800528401585203,0.9984591679506933,0.5991678182684236,0.0785914718415593,0.8500000000000001,0.9900990099009901,101.0,,
0.0,0.05238828967642527,0.9036447118842111,0.42857142857142855,0.9984591679506933,0.5997223465609461,0.0791323381665537,0.95,1.0,37.0,,
0.0,0.05855161787365177,0.8981408413176315,0.42885506287227004,0.9984591679506933,0.5999999957963007,0.08595366695095033,,,,,
0.0011441647597254005,0.05855161787365177,0.895406140914115,0.428476821192053,0.9969183359013868,0.5993515474394701,0.0879705157840418,,,,,
0.0011441647597254005,0.06471494607087827,0.892307037283139,0.42876076872100727,0.9969183359013868,0.5996292821703539,0.0904759028490125,,,,,
0.0011441647597254005,0.06933744221879815,0.8915265701570052,0.4290450928381963,0.9969183359013868,0.5999072744206925,0.09294477475874609,,,,,
0.0011441647597254005,0.07550077041602465,0.8890049297944774,0.42932979429329793,0.9969183359013868,0.6001855245488149,0.09315994049637721,,,,,
0.0011441647597254005,0.07858243451463791,0.8862363664743061,0.4296148738379814,0.9969183359013868,0.6004640329137161,0.09461571791287605,,,,,
